filename,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
Morulina sp. (6label) COLL-0009.jpeg,SEM-UBC COLL-0009,FROM FILENAME,Morulina sp.,SEM-UBC COLL-0009,label
Mantispa interrupta (3lateral) SEM-UBC NEU-0919.jpg,SEM-UBC NEU-0919,FROM FILENAME,Mantispa interrupta,SEM-UBC NEU-0919,lateral
Morulina sp. (2ventral) COLL-0009.jpeg,SEM-UBC COLL-0009,FROM FILENAME,Morulina sp.,SEM-UBC COLL-0009,ventral
Necrophilus hydrophiloides form A (3lateral) .jpg,SEM-UBC COL-28996,0.9463794422927034,Necrophilus hydrophiloides form A,,lateral
Periplaneta americana (1dorsal) .jpg,SEM-UBC DIC-0039,0.85619613261223,Periplaneta americana,,dorsal
Hemerobius discretus (3lateral) .jpeg,SEM-UBC NEU-0579,0.9234118527827475,Hemerobius discretus,,lateral
Nyctibora sp form A (3lateral) .jpg,SEM-UBC DIC-0073,0.9175550752729152,Nyctibora sp form A,,lateral
Zootermopsis angusticollis form C (1dorsal) .jpg,SEM-UBC ISO-0010,0.98088767564765,Zootermopsis angusticollis form C,,dorsal
Lamprochernes minor (1dorsal).jpeg,SEM-UBC PSEU-0002,0.7402174512425476,Lamprochernes minor,,dorsal
Agyrtes longulus (4front).jpg,SEM-UBC COL-28989,0.9858119260225476,Agyrtes longulus,,front
Tomocerus brevimucronatus (2right) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,right
Paruroctonus boreus (2ventral) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,ventral
Amphizoa lecontei (1dorsal).jpg,SEM-UBC COL-0057,0.7767905516492127,Amphizoa lecontei,,dorsal
Periplaneta australasiae nymph (3lateral) .jpg,SEM-UBC DIC-0051,0.8451309678245854,Periplaneta australasiae nymph,,lateral
Periplaneta americana nymph (3lateral) .jpg,SEM-UBC DIC-0027,0.7157414181435713,Periplaneta americana nymph,,lateral
Zootermopsis angusticollis form B (3lateral) .jpg,SEM-UBC ISO-0005,0.7900119211018989,Zootermopsis angusticollis form B,,lateral
Tomocerus brevimucronatus (6label) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,label
Blattella vaga (1dorsal) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Blattella vaga,SEM-UBC DIC-0172,dorsal
Agulla bicolor male (3lateral).jpeg,SEM-UBC RAP-0166,0.8526811736325003,Agulla bicolor male,,lateral
Parcoblatta americana (2ventral) SEM-UBC DIC-0180.jpg,SEM-UBC DIC-0180,FROM FILENAME,Parcoblatta americana,SEM-UBC DIC-0180,ventral
Euthyrrhapha pacifica (1dorsal) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Euthyrrhapha pacifica,SEM-UBC DIC-0172,dorsal
Leptomantispa pulchella (2ventral).jpg,SEM-UBC NEU-0917,0.9939180702976143,Leptomantispa pulchella,,ventral
Zootermopsis angusticollis form B (1dorsal) .jpg,SEM-UBC ISO-0005,0.953881171416956,Zootermopsis angusticollis form B,,dorsal
Lomamyia occidentalis (3lateral) SEM-UBC NEU-0472.jpeg,SEM-UBC NEU-0472,FROM FILENAME,Lomamyia occidentalis,SEM-UBC NEU-0472,lateral
Supella longipalpa form A (3lateral) .jpg,SEM-UBC DIC-0085,0.7576972455347943,Supella longipalpa form A,,lateral
Ptenothrix unicolor (6fullslide) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,fullslide
Amphizoa lecontei (2ventral).jpg,SEM-UBC COL-0057,0.9846801486576553,Amphizoa lecontei,,ventral
Periplaneta australasiae (2ventral) .jpg,SEM-UBC DIC-0044,0.8182421453833749,Periplaneta australasiae,,ventral
Nyctibora sp form C (2ventral) .jpg,SEM-UBC DIC-0076,0.7270846318594005,Nyctibora sp form C,,ventral
Periplaneta americana (2ventral) .jpg,SEM-UBC DIC-0039,0.9475606384991724,Periplaneta americana,,ventral
Ipelates latus form A (4front).jpg,SEM-UBC COL-28994,0.8127622249254799,Ipelates latus form A,,front
Pycnoscelus surinamensis (3lateral) .jpg,SEM-UBC DIC-0072,0.980816226208944,Pycnoscelus surinamensis,,lateral
Dicyrtoma sp. (2right) COLL-0010.jpg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,right
Sinella baca (1dorsal) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,dorsal
Ipelates latus form A (2ventral) .jpg,SEM-UBC COL-28994,0.9556820859023235,Ipelates latus form A,,ventral
Zootermopsis angusticollis form D (3lateral) .jpg,SEM-UBC ISO-0035,0.907782710812452,Zootermopsis angusticollis form D,,lateral
Species A form A (1dorsal) [Host - Columba palumbus] SEM-UBC PHT-0640.jpg,SEM-UBC PHT-0640,FROM FILENAME,Species A form A,SEM-UBC PHT-0640,dorsal
Sinella baca (5full) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,full
Aderus populneus (2ventral) .jpg,SEM-UBC COL-28948,0.9461877208485283,Aderus populneus,,ventral
Necrophilus hydrophiloides form B (1dorsal) .jpg,SEM-UBC COL-28997,0.7195179037374724,Necrophilus hydrophiloides form B,,dorsal
Apteroloma caraboides (2ventral) .jpg,SEM-UBC COL-28991,0.9993347870319937,Apteroloma caraboides,,ventral
Dicyrtoma sp. (1left) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,left
Paruroctonus boreus (3lateral) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,lateral
Mantispa interrupta (2ventral) SEM-UBC NEU-0919.jpg,SEM-UBC NEU-0919,FROM FILENAME,Mantispa interrupta,SEM-UBC NEU-0919,ventral
Leptomantispa pulchella (1dorsal).jpg,SEM-UBC NEU-0917,0.9875220540693533,Leptomantispa pulchella,,dorsal
Sinella baca (6label) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,label
Nyctibora sp form B (2ventral) .jpg,SEM-UBC DIC-0078,0.9508476244820878,Nyctibora sp form B,,ventral
Necrophilus hydrophiloides form B (2ventral) .jpg,SEM-UBC COL-28997,0.7885602478347036,Necrophilus hydrophiloides form B,,ventral
Blattella germanica nymph (1dorsal) .jpg,SEM-UBC DIC-0108,0.6832061603512041,Blattella germanica nymph,,dorsal
Reticulitermes hesperus (3lateral) .jpg,SEM-UBC ISO-0130,0.9141602895150692,Reticulitermes hesperus,,lateral
Entomobrya multifasciata (2right) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,right
Sisyra fuscatus (3lateral).jpeg,SEM-UBC NEU-1083,0.993106716604685,Sisyra fuscatus,,lateral
Blattella germanica nymph (2ventral) .jpg,SEM-UBC DIC-0108,0.731925546249055,Blattella germanica nymph,,ventral
Parcoblatta americana (1dorsal) SEM-UBC DIC-0180.jpg,SEM-UBC DIC-0180,FROM FILENAME,Parcoblatta americana,SEM-UBC DIC-0180,dorsal
Tragosoma depsarium (2ventral).jpg,SEM-UBC COL-9815,0.9685490005780036,Tragosoma depsarium,,ventral
Mantispa interrupta (1dorsal) SEM-UBC NEU-0919.jpg,SEM-UBC NEU-0919,FROM FILENAME,Mantispa interrupta,SEM-UBC NEU-0919,dorsal
Hypenodes caducus (1dorsal).jpg,SEM-UBC NOC-0435,0.9144382602710786,Hypenodes caducus,,dorsal
Chlorosea banksaria (1dorsal) SEM-UBC GEO-0974.jpg,SEM-UBC GEO-0974,FROM FILENAME,Chlorosea banksaria,SEM-UBC GEO-0974,dorsal
Agyrtes longulus (2ventral) .jpg,SEM-UBC COL-28989,0.9851897060338715,Agyrtes longulus,,ventral
Ptenothrix unicolor (1left) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,left
Paruroctonus boreus (1dorsal) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,dorsal
Climaciella brunnea (2ventral).jpg,SEM-UBC NEU-0911,0.9159241950079138,Climaciella brunnea,,ventral
Ergates spiculatus spiculatus (1dorsal) merged.jpg,SEM-UBC COL-5016,0.7491706060268847,Ergates spiculatus spiculatus,,dorsal
Zootermopsis angusticollis form A (1dorsal) .jpg,SEM-UBC ISO-0015,0.527317169523508,Zootermopsis angusticollis form A,,dorsal
Periplaneta americana nymph (4front).jpg,SEM-UBC DIC-0027,0.9632386581303892,Periplaneta americana nymph,,front
Isotoma viridis (2right) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,right
Isotomurus palustris (1left) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,left
Panchlora sp Form B (2ventral) .jpg,SEM-UBC DIC-0069,0.31271285056030296,Panchlora sp Form B,,ventral
Blatta orientalis nymph (3lateral) .jpg,SEM-UBC DIC-0016,0.6844101284171553,Blatta orientalis nymph,,lateral
Blattella germanica (3lateral) .jpg,SEM-UBC DIC-0112,0.9145888507872154,Blattella germanica,,lateral
Blatta orientalis (3lateral) .jpg,SEM-UBC DIC-0001,0.9038408922751563,Blatta orientalis,,lateral
Blattella germanica (1dorsal) .jpg,SEM-UBC DIC-0112,0.9924810111422899,Blattella germanica,,dorsal
Zootermopsis nevadensis (1dorsal) .jpg,SEM-UBC ISO-0001,0.9473063487599158,Zootermopsis nevadensis,,dorsal
Pteroloma nebrioides (2ventral) .jpg,SEM-UBC COL-28998,0.932111523051934,Pteroloma nebrioides,,ventral
Tomocerus flavescens (1left) COLL-0003.jpeg,SEM-UBC COLL-0003,FROM FILENAME,Tomocerus flavescens,SEM-UBC COLL-0003,left
Ergates spiculatus spiculatus (2lateral) merged.jpg,SEM-UBC COL-5016,0.9926110085051343,Ergates spiculatus spiculatus,,lateral
Supella longipalpa form B (2ventral) .jpg,SEM-UBC DIC-0090,0.970082740791292,Supella longipalpa form B,,ventral
Parcoblatta americana (3lateral) SEM-UBC DIC-0180.jpg,SEM-UBC DIC-0180,FROM FILENAME,Parcoblatta americana,SEM-UBC DIC-0180,lateral
Blaberus sp (1dorsal) merged.jpg,SEM-UBC DIC-0058,0.8747466528907728,Blaberus sp,,dorsal
Cryptotermes brevis (2ventral) wings only.jpg,SEM-UBC ISO-0050,0.9127825680827713,Cryptotermes brevis,,ventral
Dicyrtoma sp. (1left) COLL-0010.jpg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,left
Zootermopsis angusticollis form C (3lateral) .jpg,SEM-UBC ISO-0010,0.9317804672832364,Zootermopsis angusticollis form C,,lateral
Lepidocyrtus cyaneus (2right) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,right
Amphizoa insolens (3lateral).jpg,SEM-UBC COL-0044,0.7104106636658366,Amphizoa insolens,,lateral
