file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
example_images/Periplaneta australasiae nymph (1dorsal) .jpg,Periplaneta australasiae nymph (1dorsal) .jpg,SEM-UBC DIC-0051,0.7715976116468573,Periplaneta australasiae nymph,,dorsal
example_images/Amphizoa insolens (1dorsal).jpg,Amphizoa insolens (1dorsal).jpg,SEM-UBC COL-0044,0.8524439171298213,Amphizoa insolens,,dorsal
example_images/Panchlora sp Form A (1dorsal) .jpg,Panchlora sp Form A (1dorsal) .jpg,SEM-UBC DIC-0066,0.8643970503137898,Panchlora sp Form A,,dorsal
example_images/Morulina sp. (6label) COLL-0009.jpeg,Morulina sp. (6label) COLL-0009.jpeg,SEM-UBC COLL-0009,FROM FILENAME,Morulina sp.,SEM-UBC COLL-0009,label
example_images/Mantispa interrupta (3lateral) SEM-UBC NEU-0919.jpg,Mantispa interrupta (3lateral) SEM-UBC NEU-0919.jpg,SEM-UBC NEU-0919,FROM FILENAME,Mantispa interrupta,SEM-UBC NEU-0919,lateral
example_images/Morulina sp. (2ventral) COLL-0009.jpeg,Morulina sp. (2ventral) COLL-0009.jpeg,SEM-UBC COLL-0009,FROM FILENAME,Morulina sp.,SEM-UBC COLL-0009,ventral
example_images/Necrophilus hydrophiloides form A (3lateral) .jpg,Necrophilus hydrophiloides form A (3lateral) .jpg,SEM-UBC COL-28996,0.9449075272430885,Necrophilus hydrophiloides form A,,lateral
example_images/Periplaneta americana (1dorsal) .jpg,Periplaneta americana (1dorsal) .jpg,SEM-UBC DIC-0039,0.8540266347336385,Periplaneta americana,,dorsal
example_images/Hemerobius discretus (3lateral) .jpeg,Hemerobius discretus (3lateral) .jpeg,SEM-UBC NEU-0579,0.9511353479224123,Hemerobius discretus,,lateral
example_images/Nyctibora sp form A (3lateral) .jpg,Nyctibora sp form A (3lateral) .jpg,SEM-UBC DIC-0073,0.9444977473501601,Nyctibora sp form A,,lateral
example_images/Zootermopsis angusticollis form C (1dorsal) .jpg,Zootermopsis angusticollis form C (1dorsal) .jpg,SEM-UBC ISO-0010,0.9816743960030693,Zootermopsis angusticollis form C,,dorsal
example_images/Lamprochernes minor (1dorsal).jpeg,Lamprochernes minor (1dorsal).jpeg,SEM-UBC PSEU-0002,0.7402586240557298,Lamprochernes minor,,dorsal
example_images/Agyrtes longulus (4front).jpg,Agyrtes longulus (4front).jpg,SEM-UBC COL-28989,0.9873450456991936,Agyrtes longulus,,front
example_images/Tomocerus brevimucronatus (2right) COLL-0012.jpeg,Tomocerus brevimucronatus (2right) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,right
example_images/Paruroctonus boreus (2ventral) SCO-0001.jpeg,Paruroctonus boreus (2ventral) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,ventral
example_images/Amphizoa lecontei (1dorsal).jpg,Amphizoa lecontei (1dorsal).jpg,SEM-UBC COL-0057,0.7763953851381447,Amphizoa lecontei,,dorsal
example_images/Periplaneta australasiae nymph (3lateral) .jpg,Periplaneta australasiae nymph (3lateral) .jpg,SEM-UBC DIC-0051,0.6270682560175037,Periplaneta australasiae nymph,,lateral
example_images/Periplaneta americana nymph (3lateral) .jpg,Periplaneta americana nymph (3lateral) .jpg,SEM-UBC DIC-0027,0.71704514165699,Periplaneta americana nymph,,lateral
example_images/Zootermopsis angusticollis form B (3lateral) .jpg,Zootermopsis angusticollis form B (3lateral) .jpg,SEM-UBC ISO-0005,0.763214946877001,Zootermopsis angusticollis form B,,lateral
example_images/Tomocerus brevimucronatus (6label) COLL-0012.jpeg,Tomocerus brevimucronatus (6label) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,label
example_images/Blattella vaga (1dorsal) SEM-UBC DIC-0172.jpg,Blattella vaga (1dorsal) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Blattella vaga,SEM-UBC DIC-0172,dorsal
example_images/Agulla bicolor male (3lateral).jpeg,Agulla bicolor male (3lateral).jpeg,SEM-UBC RAP-0166,0.7297259862315967,Agulla bicolor male,,lateral
example_images/Parcoblatta americana (2ventral) SEM-UBC DIC-0180.jpg,Parcoblatta americana (2ventral) SEM-UBC DIC-0180.jpg,SEM-UBC DIC-0180,FROM FILENAME,Parcoblatta americana,SEM-UBC DIC-0180,ventral
example_images/Euthyrrhapha pacifica (1dorsal) SEM-UBC DIC-0172.jpg,Euthyrrhapha pacifica (1dorsal) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Euthyrrhapha pacifica,SEM-UBC DIC-0172,dorsal
example_images/Leptomantispa pulchella (2ventral).jpg,Leptomantispa pulchella (2ventral).jpg,SEM-UBC NEU-0917,0.9938733068993871,Leptomantispa pulchella,,ventral
example_images/Zootermopsis angusticollis form B (1dorsal) .jpg,Zootermopsis angusticollis form B (1dorsal) .jpg,SEM-UBC ISO-0005,0.9542627844011332,Zootermopsis angusticollis form B,,dorsal
example_images/Lomamyia occidentalis (3lateral) SEM-UBC NEU-0472.jpeg,Lomamyia occidentalis (3lateral) SEM-UBC NEU-0472.jpeg,SEM-UBC NEU-0472,FROM FILENAME,Lomamyia occidentalis,SEM-UBC NEU-0472,lateral
example_images/Supella longipalpa form A (3lateral) .jpg,Supella longipalpa form A (3lateral) .jpg,SEM-UBC DIC-0085,0.7402857945769888,Supella longipalpa form A,,lateral
example_images/Ptenothrix unicolor (6fullslide) COLL-0004.jpeg,Ptenothrix unicolor (6fullslide) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,fullslide
example_images/Amphizoa lecontei (2ventral).jpg,Amphizoa lecontei (2ventral).jpg,SEM-UBC COL-0057,0.9848359424232329,Amphizoa lecontei,,ventral
