filename,scientific_name_image,scientific_name_image_conf,SEM_number_image,SEM_number_image_conf,angle_image,angle_image_conf,scientific_name_filename,SEM_number_filename,angle_filename,scientific_name_matches,SEM_number_matches,angle_matches,all_matches
Nyctibora sp form B (3lateral) .jpg,Nyctibora sp form B,0.7585415374113506,SEM-UBC DIC-0078,0.9977269900194308,lateral,0.7585415374113506,Nyctibora sp form B,,lateral,True,,True,True
Blatta orientalis (1dorsal) .jpg,Blatta orientalis,0.732142514114458,SEM-UBC DIC-0001,0.9004226893221602,dorsal,0.732142514114458,Blatta orientalis,,dorsal,True,,True,True
Lepidocyrtus cyaneus (1left) COLL-0006.jpeg,Lepidocyrtus cyaneus,0.977309258668144,SEM-UBC COLL-00O6,0.6891759158985203,left,0.977309258668144,Lepidocyrtus cyaneus,,left,True,,True,True
Sinella baca (6label) COLL-0011.jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Sinella baca,,label,False,,False,False
Reticulitermes hesperus (2ventral) .jpg,Reticulitermes hesperus,0.8608852353468586,SEM-UBC ISO-0130,0.6790067058699307,ventral,0.8608852353468586,Reticulitermes hesperus,,ventral,True,,True,True
Tragosoma depsarium (1dorsal).jpg,Tragosoma depsarium,0.9151407105859108,SEM-UBC COL-9815,0.7491311297442442,dorsal,0.9151407105859108,Tragosoma depsarium,,dorsal,True,,True,True
Necrophilus hydrophiloides form B (3lateral) .jpg,Necrophilus hydrophiloides form B,0.7838160359451949,SEM-UBC COL-28997,0.8831827359560348,lateral,0.7838160359451949,Necrophilus hydrophiloides form B,,lateral,True,,True,True
Parcoblatta pennsylvanica (3lateral) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica,0.7206482818413321,SEM-UBC DIC-0186,0.9974353296162353,lateral,0.7206482818413321,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,lateral,True,True,True,True
Lamprochernes minor (6fullslide).jpeg,Lamprochernes minor,0.8947392231186848,SEM-UBC PSEU-0002,0.7732816957861994,full slide,0.8947392231186848,Lamprochernes minor,,fullslide,True,,True,True
Climaciella brunnea (3lateral).jpg,Climaciella brunnea,0.538789287282582,SEM-UBC NEU-0911,0.7049315701349559,latere,0.538789287282582,Climaciella brunnea,,lateral,True,,False,False
Ipelates latus form B (1dorsal) .jpg,Ipelates latus form B,0.9629906602802104,SEM-UBC COL-28995,0.9962402464147564,dorsal,0.9629906602802104,Ipelates latus form B,,dorsal,True,,True,True
Eureum spenceri Allotype (7label) Allotype-0086 female.jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Eureum spenceri Allotype,,label,False,,False,False
Aphodius pedellus (4front).jpeg,Aphodius inetarius,0.443146176637536,SEM-UBC COL-27515,0.6769691624467278,front,0.443146176637536,Aphodius pedellus,,front,False,,True,False
Apteroloma tenuicorne (1dorsal) .jpg,Apteroloma tenuicorne,0.9546112322369767,SEM-UBC COL-28992,0.9835851999564694,dorsal,0.9546112322369767,Apteroloma tenuicorne,,dorsal,True,,True,True
Amphizoa striata (1dorsal).jpg,Amphizoa striata,0.9429270230672132,SEM-UBC COL-0090,0.6774716746523315,dorsal,0.9429270230672132,Amphizoa striata,,dorsal,True,,True,True
Nyctibora sp form A (1dorsal) .jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Nyctibora sp form A,,dorsal,False,,False,False
Sinella baca (3left) COLL-0011.jpeg,Sinella baca,0.9456206318411537,SEM-UBC COLL-0011,0.9807432209383923,left,0.9456206318411537,Sinella baca,,left,True,,True,True
Blattella vaga (3lateral) SEM-UBC DIC-0172.jpg,Blattella vaga,0.9491060355236709,SEM-UBC DIC-0172,0.9978499140433661,lateral,0.9491060355236709,Blattella vaga,SEM-UBC DIC-0172,lateral,True,True,True,True
Euthyrrhapha pacifica (3lateral) SEM-UBC DIC-0172.jpg,Euthyrrhapa pacifica,0.9641744664229274,SEM-UBC DIC-0172,0.9976865655999899,lateral,0.9641744664229274,Euthyrrhapha pacifica,SEM-UBC DIC-0172,lateral,False,True,True,False
Periplaneta americana nymph (1dorsal) .jpg,Periplaneta americana nymph,0.7143101907185704,SEM-UBC DIC-0027,0.9990854584884677,dorsal,0.7143101907185704,Periplaneta americana nymph,,dorsal,True,,True,True
Scoliopteryx libatrix (2ventral).jpg,Scoliopteryx libatrix,0.9699103259257067,SEM-UBC NOC-0941,0.9809271884339394,ventral,0.9699103259257067,Scoliopteryx libatrix,,ventral,True,,True,True
Pteroloma nebrioides (1dorsal) .jpg,Pteroloma nebrioides,0.9988137959781511,SEM-UBC COL-28998,0.9911234431037308,dorsal,0.9988137959781511,Pteroloma nebrioides,,dorsal,True,,True,True
Periplaneta americana (3lateral) .jpg,Periplaneta americana,0.8131568908407055,SEM-UBC DIC-0039,0.9686986215491489,latéral,0.8131568908407055,Periplaneta americana,,lateral,True,,False,False
Dicyrtoma sp. (6label) COLL-0010.jpeg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Dicyrtoma sp.,,label,False,,False,False
Ptenothrix unicolor (1left) COLL-0004.jpg,Ptenothrix unicolor,0.6274512337933847,SEM-UBC COLL-0004,0.9879615851436045,left,0.6274512337933847,Ptenothrix unicolor,,left,True,,True,True
Pycnoscelus surinamensis (2ventral) .jpg,Pycnoscelus surinamensis,0.9247570710706052,SEM-UBC DIC-0072,0.9974739339041732,ventral,0.9247570710706052,Pycnoscelus surinamensis,,ventral,True,,True,True
Zootermopsis angusticollis form D (1dorsal) body only.jpg,Zootermopsis angusticollis forn [,0.4713890827536796,SEM-UBC ISO-0035,0.638886907841797,dorsal,0.4713890827536796,Zootermopsis angusticollis form D,,dorsal,False,,True,False
Dicyrtoma sp. (2right) COLL-0010.jpeg,Dicyrtoma sp.,0.7455412821443146,SEM-UBC COLL-0010,0.9860055741427937,right,0.7455412821443146,Dicyrtoma sp.,,right,True,,True,True
Scoliopteryx libatrix (1dorsal).jpg,Scoliopteryx libatrix,0.9938825681453939,SEM-UBC NOC-0941,0.9394398645910509,dorsal,0.9938825681453939,Scoliopteryx libatrix,,dorsal,True,,True,True
Supella longipalpa form A (2ventral) .jpg,Supella Iongipalpa form A,0.8535565036034062,SEM-UBC DIC-0085,0.9994656321848,ventral,0.8535565036034062,Supella longipalpa form A,,ventral,False,,True,False
Periplaneta australasiae (1dorsal) .jpg,Periplaneta australasiae,0.9211436111253033,SEM-UBC DIC-0044,0.9242798524363774,dorsal,0.9211436111253033,Periplaneta australasiae,,dorsal,True,,True,True
Amphizoa insolens (2ventral).jpg,Amphizoa insolens,0.6419855148449088,SEM-UBC COL-0044,0.9985267060794888,ventral,0.6419855148449088,Amphizoa insolens,,ventral,True,,True,True
Nyctibora sp form C (3lateral) .jpg,Nyctibora sp form C,0.5605772118584468,SEM-UBC DIC-0076,0.9864072853186863,lateral,0.5605772118584468,Nyctibora sp form C,,lateral,True,,True,True
Entomobrya multifasciata (1left) COLL-0007.jpeg,Enomobrya multifasciata,0.9612468258963321,SEM-UBC COLL-0007,0.8592249900686096,left,0.9612468258963321,Entomobrya multifasciata,,left,False,,True,False
Periplaneta australasiae (3lateral) .jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Periplaneta australasiae,,lateral,False,,False,False
Entomobrya multifasciata (6fullslide) COLL-0007.jpeg,Entomobrya multifasciata,0.895391202112319,SEM-UBC COLL-00O7,0.7055528211483649,full slide,0.895391202112319,Entomobrya multifasciata,,fullslide,True,,True,True
Apteroloma caraboides (4front).jpg,Apteroloma caraboides,0.8845362622072365,SEM-UBC COL-28991,0.9641385567436405,front,0.8845362622072365,Apteroloma caraboides,,front,True,,True,True
Supella longipalpa form A (1dorsal) .jpg,OCR FAILED,0,OCR FAILED,0,OCR FAILED,0,Supella longipalpa form A,,dorsal,False,,False,False
Folsomia fimetaria (2right) COLL-0008.jpeg,Folsomia fimetaria var. dentata,0.9792595265186449,SEM-UBC COLL-0008,0.6070787326504096,right,0.9792595265186449,Folsomia fimetaria,,right,False,,True,False
Parcoblatta pennsylvanica (2ventral) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica,0.9999118767013194,SEM-UBC DIC-0186,0.8856189741278344,ventral,0.9999118767013194,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,ventral,True,True,True,True
Blatta orientalis nymph (1dorsal) .jpg,Blatta orientalis nymph,0.9310257995498287,SEM-UBC DIC-0016,0.7592701191233329,dorsal,0.9310257995498287,Blatta orientalis nymph,,dorsal,True,,True,True
Isotomurus palustris (2right) COLL-0002.jpeg,Isotomurus palustris,0.710336672517795,SEM-UBC COLL-0002,0.9700812118107396,right,0.710336672517795,Isotomurus palustris,,right,True,,True,True
Agulla bicolor female (2ventral).jpeg,Agulla bicolor female,0.9864926483841457,SEM-UBC RAP-0165,0.7243343553060859,ventral,0.9864926483841457,Agulla bicolor female,,ventral,True,,True,True
Apteroloma tenuicorne (2ventral) .jpg,Apteroloma tenuicorne,0.9535434068568169,SEM-UBC COL-28992,0.9777920298113137,ventral,0.9535434068568169,Apteroloma tenuicorne,,ventral,True,,True,True
Folsomia fimetaria (6fullslide) COLL-0008.jpeg,Folsomia fimetaria var. dentata,0.8443523670081907,SEM-UBC COLL-00O8,0.5667905878025915,full slide,0.8443523670081907,Folsomia fimetaria,,fullslide,False,,True,False
Lamprochernes minor (2ventral).jpeg,Lamprochernes minor,0.8176869148657947,SEM-UBC PSEU-0002,0.9764665352692773,ventral,0.8176869148657947,Lamprochernes minor,,ventral,True,,True,True
Mundochthonius pacificus (1dorsal).jpeg,Mundochthonius pacificus,0.994590186144258,SEM-UBC PSEU-0001,0.8125927517419544,dorsal,0.994590186144258,Mundochthonius pacificus,,dorsal,True,,True,True
