id,file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
38234,images/Coleoptera/Ptiliidae/Acrotrichis cognata (3lateral) .jpg,Acrotrichis cognata (3lateral) .jpg,SEM-UBC,0.9996061327979381,Acrotrichis cognata,,lateral
38316,images/Opiliones/Phalangiidae/Phalangium opilio male (4front).jpg,Phalangium opilio male (4front).jpg,SEM UIBC OPI-00R,0.11467709670486353,Phalangium opilio male,,front
38318,images/Opiliones/Phalangiidae/Oligolophus tridens (1dorsal).jpg,Oligolophus tridens (1dorsal).jpg,SEM-UBC OPL0012,0.5598991719227694,Oligolophus tridens,,dorsal
38322,images/Opiliones/Phalangiidae/Phalangium opilio female (4front).jpg,Phalangium opilio female (4front).jpg,SEM-UBC OPI-00B=,0.2055512091797095,Phalangium opilio female,,front
41181,images/Psocodea/Phthiraptera/Bird Lice/JPEGS/Cimicidae not Louse/JPEG/Oeciacus vicarius (1dorsal) [Host - Hirundo pyrrhonota] [No value].jpg,Oeciacus vicarius (1dorsal) [Host - Hirundo pyrrhonota] [No value].jpg,OCR FAILED,0,Oeciacus vicarius,,dorsal
41182,images/Psocodea/Phthiraptera/Bird Lice/JPEGS/Cimicidae not Louse/JPEG/Oeciacus vicarius (5label 1B) [Host - Hirundo pyrrhonota] [No value].jpg,Oeciacus vicarius (5label 1B) [Host - Hirundo pyrrhonota] [No value].jpg,OCR FAILED,0,Oeciacus vicarius,,label B
41183,images/Psocodea/Phthiraptera/Bird Lice/JPEGS/Cimicidae not Louse/JPEG/Oeciacus vicarius (5label 2) [Host - Hirundo pyrrhonota] [No value].jpg,Oeciacus vicarius (5label 2) [Host - Hirundo pyrrhonota] [No value].jpg,OCR FAILED,0,Oeciacus vicarius,,label 
41184,images/Psocodea/Phthiraptera/Bird Lice/JPEGS/Cimicidae not Louse/JPEG/Oeciacus vicarius (5label 1A) [Host - Hirundo pyrrhonota] [No value].jpg,Oeciacus vicarius (5label 1A) [Host - Hirundo pyrrhonota] [No value].jpg,OCR FAILED,0,Oeciacus vicarius,,label A
41344,images/Psocodea/Phthiraptera/Mammal Lice/Philopteridae/Physconelloides spenceri Holotype & Allotype ((2ventral) Allotype-0084 female.jpg,Physconelloides spenceri Holotype & Allotype ((2ventral) Allotype-0084 female.jpg,SEM-UBC PHT-003,0.8428836885850892,Physconelloides spenceri Holotype & Allotype,,(ventral
41345,images/Psocodea/Phthiraptera/Mammal Lice/Philopteridae/Physconelloides spenceri Holotype & Allotype (4both) type-0084.jpg,Physconelloides spenceri Holotype & Allotype (4both) type-0084.jpg,OCR FAILED,0,Physconelloides spenceri Holotype & Allotype,,both
41346,images/Psocodea/Phthiraptera/Mammal Lice/Philopteridae/Physconelloides spenceri Holotype & Allotype ((1dorsal) Allotype-0084 female.jpg,Physconelloides spenceri Holotype & Allotype ((1dorsal) Allotype-0084 female.jpg,SEM-UBC PHT-003,0.9260610771955988,Physconelloides spenceri Holotype & Allotype,,(dorsal
41347,images/Psocodea/Phthiraptera/Mammal Lice/Philopteridae/Physconelloides spenceri Holotype & Allotype ((2ventral) Holotype-0084 male.jpg,Physconelloides spenceri Holotype & Allotype ((2ventral) Holotype-0084 male.jpg,SEM-UBC PHT-003,0.951087762394952,Physconelloides spenceri Holotype & Allotype,,(ventral
41348,images/Psocodea/Phthiraptera/Mammal Lice/Philopteridae/Physconelloides spenceri Holotype & Allotype (3both) type-0084 label 2.jpg,Physconelloides spenceri Holotype & Allotype (3both) type-0084 label 2.jpg,OCR FAILED,0,Physconelloides spenceri Holotype & Allotype,,both
41349,images/Psocodea/Phthiraptera/Mammal Lice/Philopteridae/Physconelloides spenceri Holotype & Allotype ((1dorsal) Holotype-0084 male.jpg,Physconelloides spenceri Holotype & Allotype ((1dorsal) Holotype-0084 male.jpg,SEM-UBC PHT-003,0.9878510863543851,Physconelloides spenceri Holotype & Allotype,,(dorsal
41350,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Austromenopon spenceri Holotype & Allotype (1dorsal)  Allotype-0083 female.jpg,Austromenopon spenceri Holotype & Allotype (1dorsal)  Allotype-0083 female.jpg,SEM-UBC PHT-002,0.955752518842383,Austromenopon spenceri Holotype & Allotype,,dorsal
41351,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Eureum spenceri Holotype (8label) Holotype-0085 male label 2.jpg,Eureum spenceri Holotype (8label) Holotype-0085 male label 2.jpg,OCR FAILED,0,Eureum spenceri Holotype,,label
41352,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Austromenopon spenceri Holotype & Allotype (2ventral) Allotype-0083 female.jpg,Austromenopon spenceri Holotype & Allotype (2ventral) Allotype-0083 female.jpg,SEM-UBC PHT-002,0.9993093907313081,Austromenopon spenceri Holotype & Allotype,,ventral
41353,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Austromenopon spenceri Holotype & Allotype (1dorsal)  Holotype-0083 male.jpg,Austromenopon spenceri Holotype & Allotype (1dorsal)  Holotype-0083 male.jpg,SEM-UBC PHT-002,0.9946284268377588,Austromenopon spenceri Holotype & Allotype,,dorsal
41354,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Eureum spenceri Allotype (1dorsal) Allotype-0086 female.jpg,Eureum spenceri Allotype (1dorsal) Allotype-0086 female.jpg,SEM-UBC PHT-005,0.8550127041156071,Eureum spenceri Allotype,,dorsal
41355,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Eureum spenceri Holotype (1dorsal) Holotype-0085 male.jpg,Eureum spenceri Holotype (1dorsal) Holotype-0085 male.jpg,SEM-UBC PHT-004,0.9914872709795141,Eureum spenceri Holotype,,dorsal
41356,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Eureum spenceri Allotype (7label) Allotype-0086 female.jpg,Eureum spenceri Allotype (7label) Allotype-0086 female.jpg,OCR FAILED,0,Eureum spenceri Allotype,,label
41357,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Eureum spenceri Holotype (2ventral) Holotype-0085 male.jpg,Eureum spenceri Holotype (2ventral) Holotype-0085 male.jpg,SEM-UBC PHT-004,0.9854313163125394,Eureum spenceri Holotype,,ventral
41358,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Austromenopon spenceri Holotype & Allotype (7label) type-0083.jpg,Austromenopon spenceri Holotype & Allotype (7label) type-0083.jpg,OCR FAILED,0,Austromenopon spenceri Holotype & Allotype,,label
41359,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Eureum spenceri Allotype (2ventral) Allotype-0086 female.jpg,Eureum spenceri Allotype (2ventral) Allotype-0086 female.jpg,SEM-UBC PHT-005,0.844962425724897,Eureum spenceri Allotype,,ventral
41360,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Austromenopon spenceri Holotype & Allotype (2ventral) Holotype-0083 male.jpg,Austromenopon spenceri Holotype & Allotype (2ventral) Holotype-0083 male.jpg,SEM-UBC PHT-002,0.945548416084898,Austromenopon spenceri Holotype & Allotype,,ventral
41361,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Austromenopon spenceri Holotype & Allotype (8label) type-0083 label 2.jpg,Austromenopon spenceri Holotype & Allotype (8label) type-0083 label 2.jpg,OCR FAILED,0,Austromenopon spenceri Holotype & Allotype,,label
41362,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Amyrsidea minuta Holotype & Allotype (1dorsal) SEM-UBC HOL.jpg,Amyrsidea minuta Holotype & Allotype (1dorsal) SEM-UBC HOL.jpg,SEM-UBC HOL,FROM FILENAME,Amyrsidea minuta Holotype & Allotype,SEM-UBC HOL,dorsal
41363,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Amyrsidea minuta Holotype & Allotype (2ventral) SEM-UBC HOL.jpg,Amyrsidea minuta Holotype & Allotype (2ventral) SEM-UBC HOL.jpg,SEM-UBC HOL,FROM FILENAME,Amyrsidea minuta Holotype & Allotype,SEM-UBC HOL,ventral
41364,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Eureum spenceri Allotype (8label) Allotype-0086 female label 2.jpg,Eureum spenceri Allotype (8label) Allotype-0086 female label 2.jpg,OCR FAILED,0,Eureum spenceri Allotype,,label
41365,images/Psocodea/Phthiraptera/Mammal Lice/Menoponidae/Eureum spenceri Holotype (7label) Holotype-0085 male.jpg,Eureum spenceri Holotype (7label) Holotype-0085 male.jpg,OCR FAILED,0,Eureum spenceri Holotype,,label
41418,images/Psocodea/Phthiraptera/Mammal Lice/Echinophthiriidae/Lepidophthirus macrorhini male (label 2B).jpg,Lepidophthirus macrorhini male (label 2B).jpg,SEM-UBC PHI-UU8Y,0.4117237578658962,Lepidophthirus macrorhini male,,label B
